Line,nmol/gFW
WT,0.849801765
WT,2.016259971
-RGG,2.823348761
-RGG,2.792368453
-RGG,2.365734368
-RGG,2.319755071
-RGG,2.821173729
-RGG,1.109685697
-RGG,2.20985263
+RGG,6.624727398
+RGG,6.980618208
+RGG,6.059707295
+RGG,8.813639197
WT,1.229070663
WT,0.852106607
WT,1.133363257
-RGG,0.957912712
-RGG,3.415548535
-RGG,1.676239494
-RGG,3.338226431
-RGG,2.16156818
+RGG,5.032054389
+RGG,5.330274631
+RGG,2.11959455
+RGG,4.627202653
+RGG,3.216800983
+RGG,7.223906086
+RGG,5.839053235
+RGG,2.675295671
