Name,Cond,Enzyme,Channel,NormSig,,,,,,,,,,,,,,,,,,
PHB,+RGG,A,mClover3,624781.6974,,,,,,,,,,,,,,,,,,
PHB,+RGG,A,mCherry,46466.30311,,,,,,,,,,,,,,,,,,
PHB,-RGG,A,mClover3,276.4350217,,,,,,,,,,,,,,,,,,
PHB,-RGG,A,mCherry,67325.85209,,,,,,,,,,,,,,,,,,
PHB,-RGG,A,mClover3,-747.6711538,,,,,,,,,,,,,,,,,,
PHB,-RGG,A,mCherry,16417.53013,,,,,,,,,,,,,,,,,,
PHB,-RGG,C,mClover3,501.7268605,,,,,,,,,,,,,,,,,,
PHB,-RGG,C,mCherry,334.1822326,,,,,,,,,,,,,,,,,,
PHB,-RGG,C,mClover3,-359.15525,,,,,,,,,,,,,,,,,,
PHB,-RGG,C,mCherry,6133.298673,,,,,,,,,,,,,,,,,,
PHB,+RGG,C,mClover3,89677.83105,,,,,,,,,,,,,,,,,,
PHB,+RGG,C,mCherry,109310.3488,,,,,,,,,,,,,,,,,,
PHB,+RGG,C,mClover3,34257.79257,,,,,,,,,,,,,,,,,,
PHB,+RGG,C,mCherry,60978.27295,,,,,,,,,,,,,,,,,,
PHB,-RGG,A,mClover3,29.71855844,,,,,,,,,,,,,,,,,,
PHB,-RGG,A,mCherry,-3511.593519,,,,,,,,,,,,,,,,,,
PHB,-RGG,A,mClover3,-1509.924812,,,,,,,,,,,,,,,,,,
PHB,-RGG,A,mCherry,25214.62565,,,,,,,,,,,,,,,,,,
PHB,-RGG,A,mClover3,1942.19397,,,,,,,,,,,,,,,,,,
PHB,-RGG,A,mCherry,62184.0476,,,,,,,,,,,,,,,,,,
PHB,+RGG,A,mClover3,28074.02389,,,,,,,,,,,,,,,,,,
PHB,+RGG,A,mCherry,94148.26126,,,,,,,,,,,,,,,,,,
PHB,+RGG,A,mClover3,27982.26694,,,,,,,,,,,,,,,,,,
PHB,+RGG,A,mCherry,13745.88586,,,,,,,,,,,,,,,,,,
PHB,+RGG,A,mClover3,47256.80569,,,,,,,,,,,,,,,,,,
PHB,+RGG,A,mCherry,147429.1528,,,,,,,,,,,,,,,,,,
PHB,+RGG,A,mClover3,28342.71062,,,,,,,,,,,,,,,,,,
PHB,+RGG,A,mCherry,66224.5476,,,,,,,,,,,,,,,,,,
PHB,+RGG,C,mClover3,63772.41303,,,,,,,,,,,,,,,,,,
PHB,+RGG,C,mCherry,30925.37685,,,,,,,,,,,,,,,,,,
PHB,+RGG,C,mClover3,70892.7248,,,,,,,,,,,,,,,,,,
PHB,+RGG,C,mCherry,64843.8746,,,,,,,,,,,,,,,,,,
PHB,+RGG,C,mClover3,90174.26956,,,,,,,,,,,,,,,,,,
PHB,+RGG,C,mCherry,111186.841,,,,,,,,,,,,,,,,,,
PHB,+RGG,B,mClover3,61861.00936,,,,,,,,,,,,,,,,,,
PHB,+RGG,B,mCherry,134754.3286,,,,,,,,,,,,,,,,,,
PHB,+RGG,B,mClover3,11822.98431,,,,,,,,,,,,,,,,,,
PHB,+RGG,B,mCherry,69102.00873,,,,,,,,,,,,,,,,,,
PHB,+RGG,B,mClover3,82370.18775,,,,,,,,,,,,,,,,,,
PHB,+RGG,B,mCherry,137070.0334,,,,,,,,,,,,,,,,,,
PHB,+RGG,B,mClover3,46300.69217,,,,,,,,,,,,,,,,,,
PHB,+RGG,B,mCherry,119877.116,,,,,,,,,,,,,,,,,,
PHB,+RGG,B,mClover3,27703.29313,,,,,,,,,,,,,,,,,,
PHB,+RGG,B,mCherry,40594.82298,,,,,,,,,,,,,,,,,,
PHB,-RGG,B,mClover3,1174.12386,,,,,,,,,,,,,,,,,,
PHB,-RGG,B,mCherry,-1683.008767,,,,,,,,,,,,,,,,,,
PHB,-RGG,B,mClover3,-103.7557193,,,,,,,,,,,,,,,,,,
PHB,-RGG,B,mCherry,6501.221754,,,,,,,,,,,,,,,,,,
PHB,-RGG,B,mClover3,-542.3253333,,,,,,,,,,,,,,,,,,
PHB,-RGG,B,mCherry,10249.84633,,,,,,,,,,,,,,,,,,
PHB,-RGG,B,mClover3,-818.2296575,,,,,,,,,,,,,,,,,,
PHB,-RGG,B,mCherry,1698.879274,,,,,,,,,,,,,,,,,,
PHB,-RGG,B,mClover3,1606.21988,,,,,,,,,,,,,,,,,,
PHB,-RGG,B,mCherry,5284.26198,,,,,,,,,,,,,,,,,,
PHB,-RGG,C,mClover3,-135.1206316,,,,,,,,,,,,,,,,,,
PHB,-RGG,C,mCherry,6095.619605,,,,,,,,,,,,,,,,,,
PHB,-RGG,C,mClover3,1160.605044,,,,,,,,,,,,,,,,,,
PHB,-RGG,C,mCherry,29249.60371,,,,,,,,,,,,,,,,,,
PHB,-RGG,C,mClover3,-95.81948148,,,,,,,,,,,,,,,,,,
PHB,-RGG,C,mCherry,9192.084796,,,,,,,,,,,,,,,,,,
